,Δ Slope (%),Δ Intercept (%)
A502,35.36757154670058,0.3083542586135342
FSR 1,0.0,0.0
FSR 2,15.355898836557794,0.28072114787285235
FSR 3,20.321792769045093,0.6395511124909617
FSR 4,29.679089993074037,0.878444216272834
